 字段 1 , 字段 2 , 字段 3 , 字段 4 , 字段 5 , 字段 6 , 字段 7 , 字段 8 , 字段 9 , 字段 10 , 字段 11 
 听 足音 , 5 分   超棒 , 成都 大熊猫 繁育 研究 基地 ， 位于 四川省 成都市 成华区 外北 熊猫 大道 1375 号 ， 为 饲养 、 救治 、 繁育 大熊猫 而 建立 。 1997 年 建立 开放 实验室 ， 截至 2020 年末 ， 大熊猫 种群 数量 达 215 只 ， 是 全球 最大 的 圈养 大熊猫 人工繁殖 种群 。   成都 大熊猫 繁育 研究 基地 总面积 达 3570 亩 ， 以 造园 手法 模拟 大熊猫 野外 生态环境 ， 大熊猫 产房 、 熊猫 饲养 区 、 科研 中心 、 熊猫 医院 等 分布 有序 ， 更 有 多处 豪华 熊猫 “ 别墅 ” 散落 于 山林 之中 ， 熊猫 宝宝 们 天天 吃饱喝足 ， 睡 到 自然 醒 ， 爬树 上房 ， 打打闹闹 ， 开开心心 ， 健康成长 ， 幸福生活 乐 逍遥 … … 基地 可爱 的 熊猫 宝宝 也 吸引 了 无数 游客 ， 这里 是 国家 AAAA 景区 。 , 2022 - 06 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 19 " ,  , 2022 - 06 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 19 " ,  
 M43 * * * * 2939 , 5 分   超棒 , 从 东南 门进 ， 在 老区 游玩 ， 尽可能 的 别 去 新区 。 大熊猫 主要 分布 在 老区 ， 新区 是 观赏 消费 区 。 大熊猫 真的 很 可爱 ， 可以 看 一天 都 不会 无聊 ， 而且 老区 的 风景 很 美 ， 在 里面 漫步 ， 很 舒坦 还 不 觉得 热 , 2022 - 08 - 12IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 1 " ,  , 2022 - 08 - 12IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 1 " ,  
 M34 * * * * 6400 , 5 分   超棒 , 这次 来 熊猫 基地 正好 赶上 了 新 上 的 音乐剧 熊猫 整个 舞台 布置 敲 精美 ， 可以 看到 好多 四川 特色 ， 比如 竹编 、 彩灯 、 喷火 、 脸谱 、 现代 舞蹈 等等 ； 剧中 还有 四川话 谐音 梗 ， 让 整场 音乐剧 气氛 更加 的 欢快 活跃 ， 增添 了 不少 趣味 ！ , 2022 - 08 - 20IP 属地 ： 陕西 , IP 属地 ： 陕西 , "  
 点赞 " ,  , 2022 - 08 - 20IP 属地 ： 陕西 , IP 属地 ： 陕西 , "  
 点赞 " ,  
 亲亲 股太乐 , 5 分   超棒 , 四川 成都 大熊猫 繁育 基地 我 去过 两次 ， 都 很爽 ， 无论是 环境卫生 ， 游玩 秩序 ， 熊猫 介绍 等 。 我 最 喜欢 刚出生 的 宝宝 ， 萌萌 哒 太 可爱 了 ， 每次 翻身 都 赢 来 观众 阵阵 掌声 。 这么 多 的 毛绒 熊猫 玩具 ， 一定 要 带 一个 回家 。 , 2022 - 08 - 24IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 点赞 " ,  , 2022 - 08 - 24IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 点赞 " ,  
 Cherry2009 , 5 分   超棒 , " 亲子 带娃 好去处 — 成都 大熊猫 繁育 研究 基地 
 📖 成都 大熊猫 繁育 研究 基地 ： 这里 完全 模拟 了 大熊猫 在 野外 的 生活 环境 ， 建有 湖泊 、 溪流 、 竹林 、 草坪 等 景观 ， 每 一只 大熊猫 都 有 名字 和 介绍 ， 根据 熊猫 的 年龄 分成 了 许多 不同 的 地域 ， 是 在 成都 带娃 看 大熊猫 的 首选 地 。 
 
 🗓 游览 线路 ： （ 可 根据 时间 和 体力 选择 ） 
 
 推荐 线路 （ 1.5 小时 游程 ） 
 ( 1 ) 正门 → ( 14 ) ( 15 ) 天鹅湖 ( 玫瑰 苑 ) → ( 13 ) 亚 成年 大熊猫 别墅 → ( 12 ) 成年 大熊猫 别墅 → ( 11 ) 幼年 大熊猫 别墅 → ( 10 ) 大熊猫 太阳 产房 → ( 9 ) 小熊猫 2 号 活动 场 → ( 21 ) 小熊猫 产房 → ( 8 ) 小熊猫 1 号 活动 场 → ( 7 ) 大熊猫 魅力 剧场 → ( 6 ) 大熊猫 14 号 兽 舍 → ( 5 ) 熊猫 科学 探秘 馆 → ( 3 ) 大熊猫 博物馆 → ( 1 ) 正门 
   
 推荐 线路 （ 3 小时 游程 ） 
 ( 1 ) 正门 → ( 14 ) ( 15 ) 天鹅湖 ( 玫瑰 苑 ) → ( 12 ) 成年 大熊猫 别墅 → ( 11 ) 幼年 大熊猫 别墅 → ( 10 ) 大熊猫 太阳 产房 → ( 20 ) 大熊猫 2 号 别墅 → ( 19 ) 大熊猫 月亮 产房 → ( 18 ) 大熊猫 1 号 别墅 → ( 17 ) 熊猫 厨房 → ( 16 ) 熊猫 医院 → ( 5 ) 熊猫 科学 探秘 馆 → ( 3 ) 大熊猫 博物馆 → ( 1 ) 正门 
 
 📍 详细 地址 ： 
 成都 外北 熊猫 大道 1375 号 
 
 🚉 交通 攻略 ： 
 1 、 成都双流机场 至 成都 大熊猫 繁育 研究 基地 
 　 　 双流 机场 1 航站楼 乘坐 地铁 10 号线 在 “ 太平 园 ” 站 下车 转 地铁 3 号线 至 “ 熊猫 大道 ” 站 下车 ， 出 地铁 （ A 出口 ） 乘坐 公交 D025 路 / 198 路 / 198A 路至 “ 熊猫 基地 ” 站 即可 。 
 2 、 成都 火车 北站 至 成都 大熊猫 繁育 研究 基地 
 　 　 火车 北站 乘坐 地铁 7 号线 在 “ 驷马 桥 ” 站 下车 转 地铁 3 号线 至 “ 熊猫 大道 ” 站 下车 ， 出 地铁 （ A 出口 ） 后 乘坐 公交 D025 路 / 198 路 / 198A 路至 “ 熊猫 基地 ” 站 即可 。 
 3 、 成都 东站 至 成都 大熊猫 繁育 研究 基地 
 　 　 成都 东 客站 乘坐 地铁 7 号线 在 “ 驷马 桥 ” 站 下车 转 地铁 3 号线 至 “ 熊猫 大道 ” 站 下车 ， 出 地铁 （ A 出口 ） 乘坐 公交 D025 路 / 198 路 / 198A 路至 “ 熊猫 基地 ” 站 即可 。 
 4 、 成都 市区 至 成都 大熊猫 繁育 研究 基地 
 　 
 
 📝 注意 tips ： 
 1 、 看 大熊猫 的 最佳 时间 是 09 : 30 之前 ， 因为 9 ： 00 - 11 : 00 之间 有个 喂食 时间 ， 吃 完后 熊猫 会 睡觉 ， 所以 一定 要 早到 ， 最好 8 : 00 左右 到 ， 既 避开 人流 又 可以 在 户外 看到 大熊猫 🐼 。 
 2 、 大熊猫 怕热 ， 夏季 的 时候 前往 更要 早 一点 到 ， 否则 ， 大熊猫 都 跑 到 屋里 去 了 。 
 3 、 不要 给 大熊猫 🐼 随意 喂食 ， 也 不要 敲打 🔨 玻璃 。 " , 2022 - 03 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 12 " ,  , 2022 - 03 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 12 " ,  
 笑看人生 JL , 5 分   超棒 , 国内 首部 以 熊猫 为 主题 的 驻场 音乐剧 。 整部 剧时长 1 小时 ， 融合 了 四川 民俗 川剧 、 喷火 、 布偶戏 。 剧院 位于 新都区 熊猫 基地 内 ， 看 熊猫 与 看剧 无缝 连接 ， 不用 在 旅途 上 浪费时间 。 而且 公共交通 非常 方便 ， 自驾车 停车场 也 很大 。 , 2022 - 08 - 19IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 19IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 亮点 liangpoint , 5 分   超棒 , 占地面积 1500 亩 的 大熊猫 繁育 研究 基地 是 世界 著名 的 大熊猫 迁地 保护 基地 ， 集 科研 、 教育 、 旅游 为 一体 。 基地 以 造园 手法 模拟 大熊猫 野外 生态环境 ， 大熊猫 产房 、 熊猫 饲养 区 、 科研 中心 、 熊猫 医院 分布 有序 ， 若干处 豪华 熊猫 “ 别墅 ” 散落 于 山林 之中 。 , 2022 - 09 - 10IP 属地 ： 福建 , IP 属地 ： 福建 , "  
 1 " ,  , 2022 - 09 - 10IP 属地 ： 福建 , IP 属地 ： 福建 , "  
 1 " ,  
 201 * * * * 393 , 5 分   超棒 , 来 成都 出差 ， 临时 决定 去 看看 熊猫 ， 熊猫 很 可爱 ， 大部分 在 睡懒觉 ， 碰上 一只 在 吃 东西 的 ， 萌蠢 萌蠢 的 。 我 的 经验 不用 看遍 每 一只 熊猫 ， 看见 活跃 的 多 待 一会 ， 他 做点 动作 都 很 可爱 。 周围 主播 多 的 ， 都 是 活跃 的 。 , 2022 - 06 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 06 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 爷 微不足道 , 5 分   超棒 , 成都 大熊猫 繁育 研究 基地 基地 总面积 达 3570 亩 ， 其中 扩建 区 面积 为 2535 亩 。 基地 以 造园 手法 模拟 大熊猫 野外 生态环境 ， 大熊猫 产房 、 熊猫 饲养 区 、 科研 中心 、 熊猫 医院 分布 有序 ， 若干处 豪华 熊猫 “ 别墅 ” 散落 于 山林 之中 。 扩建 区 充分 遵循 并 沿用 原始 地形 地貌 ， 利用 山体 冲沟 及 溪流 形成 山地 溪谷 多层次 景观带 ； 根据 熊猫 主题 特点 ， 将 项目 总体 划分 为 多个 区域 。 截至 2020 年末 ， 大熊猫 种群 数量 达 215 只 ， 是 全球 最大 的 圈养 大熊猫 人工繁殖 种群 。 , 2022 - 09 - 03IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  , 2022 - 09 - 03IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  
 反假 斗士 , 5 分   超棒 , 来到 成都 ， 是不是 要 看一看 大熊猫 基地 呢 ？   别看 大熊猫 胖乎乎 的 有点 笨拙 ， 但 实际上 真的 是 很 灵活 哦 ， 可以 上 到 非常 高 的 树上 ， 而且 还 能 在 树上 睡觉 。   还 看到 大熊猫 们 在 互相 抱 着 玩儿 ， 真是 憨态可掬 。   也 看到 了 特别 小 的 熊猫 宝宝 ， 这些 宝宝 们 都 躺 在 一个 很大 的 硬板 上 。   这里 规模 实在 是 太大 了 ， 至少 得 玩 半天 以上 。   还有 好多 新建 的 馆 ， 真的 是 很棒 啊 。 , 2022 - 08 - 26IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  , 2022 - 08 - 26IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  
