字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11
听足音,5分 超棒,成都大熊猫繁育研究基地，位于四川省成都市成华区外北熊猫大道1375号，为饲养、救治、繁育大熊猫而建立。1997年建立开放实验室，截至2020年末，大熊猫种群数量达215只，是全球最大的圈养大熊猫人工繁殖种群。 成都大熊猫繁育研究基地总面积达3570亩，以造园手法模拟大熊猫野外生态环境，大熊猫产房、熊猫饲养区、科研中心、熊猫医院等分布有序，更有多处豪华熊猫“别墅”散落于山林之中，熊猫宝宝们天天吃饱喝足，睡到自然醒，爬树上房，打打闹闹，开开心心，健康成长，幸福生活乐逍遥……基地可爱的熊猫宝宝也吸引了无数游客，这里是国家AAAA景区。,2022-06-19IP属地：未知,IP属地：未知,"
19",,2022-06-19IP属地：未知,IP属地：未知,"
19",
M43****2939,5分 超棒,从东南门进，在老区游玩，尽可能的别去新区。大熊猫主要分布在老区，新区是观赏消费区。大熊猫真的很可爱，可以看一天都不会无聊，而且老区的风景很美，在里面漫步，很舒坦还不觉得热,2022-08-12IP属地：四川,IP属地：四川,"
1",,2022-08-12IP属地：四川,IP属地：四川,"
1",
M34****6400,5分 超棒,这次来熊猫基地正好赶上了新上的音乐剧熊猫整个舞台布置敲精美，可以看到好多四川特色，比如竹编、彩灯、喷火、脸谱、现代舞蹈等等；剧中还有四川话谐音梗，让整场音乐剧气氛更加的欢快活跃，增添了不少趣味！,2022-08-20IP属地：陕西,IP属地：陕西,"
点赞",,2022-08-20IP属地：陕西,IP属地：陕西,"
点赞",
亲亲股太乐,5分 超棒,四川成都大熊猫繁育基地我去过两次，都很爽，无论是环境卫生，游玩秩序，熊猫介绍等。我最喜欢刚出生的宝宝，萌萌哒太可爱了，每次翻身都赢来观众阵阵掌声。这么多的毛绒熊猫玩具，一定要带一个回家。,2022-08-24IP属地：山东,IP属地：山东,"
点赞",,2022-08-24IP属地：山东,IP属地：山东,"
点赞",
Cherry2009,5分 超棒,"亲子带娃好去处—成都大熊猫繁育研究基地
📖成都大熊猫繁育研究基地：这里完全模拟了大熊猫在野外的生活环境，建有湖泊、溪流、竹林、草坪等景观，每一只大熊猫都有名字和介绍，根据熊猫的年龄分成了许多不同的地域，是在成都带娃看大熊猫的首选地。

🗓游览线路：（可根据时间和体力选择）

推荐线路（1.5小时游程）
(1)正门→(14)(15)天鹅湖(玫瑰苑)→(13)亚成年大熊猫别墅→(12)成年大熊猫别墅→(11)幼年大熊猫别墅→(10)大熊猫太阳产房→(9)小熊猫2号活动场→(21)小熊猫产房→(8)小熊猫1号活动场→(7)大熊猫魅力剧场→(6)大熊猫14号兽舍→(5)熊猫科学探秘馆→(3)大熊猫博物馆→(1)正门
 
推荐线路（3小时游程）
(1)正门→(14)(15)天鹅湖(玫瑰苑)→(12)成年大熊猫别墅→(11)幼年大熊猫别墅→(10)大熊猫太阳产房→(20)大熊猫2号别墅→(19)大熊猫月亮产房→(18)大熊猫1号别墅→(17)熊猫厨房→(16)熊猫医院→(5)熊猫科学探秘馆→(3)大熊猫博物馆→(1)正门

📍详细地址：
成都外北熊猫大道1375号

🚉交通攻略：
1、成都双流机场至成都大熊猫繁育研究基地
　　双流机场1航站楼乘坐地铁10号线在“太平园”站下车转地铁3号线至“熊猫大道”站下车，出地铁（A出口）乘坐公交D025路/198路/198A路至“熊猫基地”站即可。
2、成都火车北站至成都大熊猫繁育研究基地
　　火车北站乘坐地铁7号线在“驷马桥”站下车转地铁3号线至“熊猫大道”站下车，出地铁（A出口）后乘坐公交D025路/198路/198A路至“熊猫基地”站即可。
3、成都东站至成都大熊猫繁育研究基地
　　成都东客站乘坐地铁7号线在“驷马桥”站下车转地铁3号线至“熊猫大道”站下车，出地铁（A出口）乘坐公交D025路/198路/198A路至“熊猫基地”站即可。
4、成都市区至成都大熊猫繁育研究基地
　

📝注意tips：
1、看大熊猫的最佳时间是09:30之前，因为9：00-11:00之间有个喂食时间，吃完后熊猫会睡觉，所以一定要早到，最好8:00左右到，既避开人流又可以在户外看到大熊猫🐼。
2、大熊猫怕热，夏季的时候前往更要早一点到，否则，大熊猫都跑到屋里去了。
3、不要给大熊猫🐼随意喂食，也不要敲打🔨玻璃。",2022-03-19IP属地：未知,IP属地：未知,"
12",,2022-03-19IP属地：未知,IP属地：未知,"
12",
笑看人生JL,5分 超棒,国内首部以熊猫为主题的驻场音乐剧。整部剧时长1小时，融合了四川民俗川剧、喷火、布偶戏。剧院位于新都区熊猫基地内，看熊猫与看剧无缝连接，不用在旅途上浪费时间。而且公共交通非常方便，自驾车停车场也很大。,2022-08-19IP属地：四川,IP属地：四川,"
点赞",,2022-08-19IP属地：四川,IP属地：四川,"
点赞",
亮点liangpoint,5分 超棒,占地面积1500亩的大熊猫繁育研究基地是世界著名的大熊猫迁地保护基地，集科研、教育、旅游为一体。基地以造园手法模拟大熊猫野外生态环境，大熊猫产房、熊猫饲养区、科研中心、熊猫医院分布有序，若干处豪华熊猫“别墅”散落于山林之中。,2022-09-10IP属地：福建,IP属地：福建,"
1",,2022-09-10IP属地：福建,IP属地：福建,"
1",
201****393,5分 超棒,来成都出差，临时决定去看看熊猫，熊猫很可爱，大部分在睡懒觉，碰上一只在吃东西的，萌蠢萌蠢的。我的经验不用看遍每一只熊猫，看见活跃的多待一会，他做点动作都很可爱。周围主播多的，都是活跃的。,2022-06-09IP属地：未知,IP属地：未知,"
1",,2022-06-09IP属地：未知,IP属地：未知,"
1",
爷微不足道,5分 超棒,成都大熊猫繁育研究基地基地总面积达3570亩，其中扩建区面积为2535亩。基地以造园手法模拟大熊猫野外生态环境，大熊猫产房、熊猫饲养区、科研中心、熊猫医院分布有序，若干处豪华熊猫“别墅”散落于山林之中。扩建区充分遵循并沿用原始地形地貌，利用山体冲沟及溪流形成山地溪谷多层次景观带；根据熊猫主题特点，将项目总体划分为多个区域。截至2020年末，大熊猫种群数量达215只，是全球最大的圈养大熊猫人工繁殖种群。,2022-09-03IP属地：北京,IP属地：北京,"
点赞",,2022-09-03IP属地：北京,IP属地：北京,"
点赞",
反假斗士,5分 超棒,来到成都，是不是要看一看大熊猫基地呢？ 别看大熊猫胖乎乎的有点笨拙，但实际上真的是很灵活哦，可以上到非常高的树上，而且还能在树上睡觉。 还看到大熊猫们在互相抱着玩儿，真是憨态可掬。 也看到了特别小的熊猫宝宝，这些宝宝们都躺在一个很大的硬板上。 这里规模实在是太大了，至少得玩半天以上。 还有好多新建的馆，真的是很棒啊。,2022-08-26IP属地：北京,IP属地：北京,"
点赞",,2022-08-26IP属地：北京,IP属地：北京,"
点赞",
小黎子,5分 超棒,第一次来成都，第一个想去的地方就是看看咱们伟大中华民族的国宝大熊猫，里面的园区很大，8月底，很长时间没有干旱无雨的成都下起了大雨，虽然有点措手不及，但是下雨的最大好处就是凉快，再加上里面的绿色植被特别的多，确实不虚此行啊！然后就是大熊猫怕热所以夏天去他们基本上不是在空调房睡觉就是吃东西，这是唯一败兴的地方，希望10月和我老婆再来一次的时候，可以看到他们在室外活动的样子，确实非常可爱，值得一去。另外，想锻炼身体的那是个好地方，如果是溜娃的千万千万要在门口买30元一个人的景游览车的票，要不会走路走到你怀疑人生的,2022-08-24IP属地：四川,IP属地：四川,"
点赞",,2022-08-24IP属地：四川,IP属地：四川,"
点赞",
梦想家CC,5分 超棒,有各种年龄段的大熊猫可以看，很长见识。小朋友特别喜欢，还有小熊猫放养区，近距离接触感觉很奇妙。小朋友很开心。就是来的时候门口没有向导，指引器也没人教怎么使用。连个景区地图导引都没有，指示牌也不是很明确，我们来回走了好几趟。希望服务可以提高。,2022-08-07IP属地：四川,IP属地：四川,"
点赞",,2022-08-07IP属地：四川,IP属地：四川,"
点赞",
会飞的猴猴,5分 超棒,各种大熊猫🐼，小熊猫……国庆节挺凉快的，建议早晨一开园就来，中午来熊猫都睡着了，有醒的也是背对着人吃东西，个人感觉熊猫听得懂用四川话喊它们，普通话叫它们名字没反应，用四川话试试，会有意外收获哦！,2022-08-27IP属地：湖北,IP属地：湖北,"
点赞",,2022-08-27IP属地：湖北,IP属地：湖北,"
点赞",
M26****5978,5分 超棒,来成都旅行怎能不看萌萌的大熊猫呀🐼🚌交通：我们住在春熙路，有直达的景区大巴，途经宽窄巷子站，上车扫码买票挺方便的，往返都可以坐，单程5元/人.💰门票：55/人，在网上提前购买，到现场刷身份证即可入场.⏰营业时间：7：30-18：00我们十一点多才到，去晚啦没看到给大熊猫喂食的场景建议大家早点去，最好是开园就进场～1⃣因为太热了我们只逛了老园区，游玩时间3小时左右2⃣入场后买了观光车票，往返10元/人，可直达老景区省了很多步行时间.#成都#成都探店#成都旅游#成都旅游攻略,2022-07-25IP属地：海南,IP属地：海南,"
1",,2022-07-25IP属地：海南,IP属地：海南,"
1",
M54****549,5分 超棒,新区很国际范，每个卫生间都配了家庭厕所，纸巾充足马桶高级，到处都很干净，非常适合带小朋友玩，建议从南门进西门出，不用开车也就避免了走回头路，有专门的摆渡车很方便，不过目前试营业，很多都没有开放，希望越来越好。 对了，如果想看刚出生的大熊猫，要6到9月份去哦⊙∀⊙！,2022-05-16IP属地：未知,IP属地：未知,"
5",,2022-05-16IP属地：未知,IP属地：未知,"
5",
陌上花开,5分 超棒,功夫熊猫名不虚传，在四川成都大熊猫繁育基地里看到的，身手矫健的大熊猫爬树本领当属一流。就是掉下去的时候我的心都提到嗓子眼了，真是佩服她的本领。国宝熊猫真可爱。,2022-09-03IP属地：山东,IP属地：山东,"
1",,2022-09-03IP属地：山东,IP属地：山东,"
1",
彩色栀子,5分 超棒,好多可爱的大熊猫和小熊猫，每一只都憨态可掬，恨不得抱抱她们🌝，门票也不贵，带娃去玩，值了。,2022-08-03IP属地：四川,IP属地：四川,"
点赞",,2022-08-03IP属地：四川,IP属地：四川,"
点赞",
卡哈马卡布拉德,5分 超棒,7点半进去果然没错，做观光车到月亮产房下，看到了两只在室外的熊猫，还有熊猫宝宝特别可爱，天鹅湖景色不错，可以坐着休息，出去以后有直通车去春熙路宽窄巷子，正好可以去吃中饭,2022-08-17IP属地：四川,IP属地：四川,"
点赞",,2022-08-17IP属地：四川,IP属地：四川,"
点赞",
